brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,age
Ford,Expedition Limited,2021,45000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,52000.0,4
Toyota,Sequoia Platinum,2011,173456.0,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,16000.0,14
Audi,A8 L 55,2019,93400.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Brown,None reported,Yes,42500.0,6
Toyota,Avalon XLE,2015,90000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,18200.0,10
Porsche,Macan Base,2017,40600.0,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,32000.0,8
Lexus,IS 350 F Sport,2023,20121.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,Yes,47124.0,2
Mercedes-Benz,Metris Base,2020,3921.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic,Black,White,None reported,Yes,175000.0,5
Lexus,RX 350 Base,2011,187450.0,Gasoline,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,10400.0,14
Toyota,Supra A91 Edition,2021,6400.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,68000.0,4
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,54500.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,37995.0,8
BMW,X6 xDrive50i,2017,78500.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Brown,At least 1 accident or damage reported,Yes,42000.0,8
Chevrolet,Tahoe LT,2018,75000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,36000.0,7
Ford,F-150 SVT Raptor,2014,89988.0,Gasoline,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Red,At least 1 accident or damage reported,Yes,42500.0,11
Subaru,Outback 3.0 R VDC Limited,2005,107000.0,Gasoline,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,7100.0,20
Alfa,Romeo Giulia Ti,2019,21400.0,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,28500.0,6
Mazda,CX-7 Grand Touring,2007,83150.0,Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,6950.0,18
Ford,F-150 Platinum,2018,92000.0,Diesel,250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,36500.0,7
Audi,A7 3.0T Premium Plus,2017,39000.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,35000.0,8
RAM,2500 Laramie,2017,67483.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Brown,Beige,At least 1 accident or damage reported,Yes,46500.0,8
Audi,S8 4.0T Plus,2017,54300.0,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,53500.0,8
Hyundai,Sonata Hybrid Limited,2022,30565.0,Hybrid,192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Gray,Black,None reported,Yes,29000.0,3
Audi,A8 L 4.0T,2016,142666.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0,9
Ford,Ranger Sport SuperCab,2009,166200.0,Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,6999.0,16
INFINITI,Q50 Hybrid Premium,2015,88977.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,19977.0,10
BMW,M3 Base,2011,114890.0,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,20990.0,14
Mercedes-Benz,E-Class E 350 4MATIC,2009,171000.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,4750.0,16
Chevrolet,Camaro 1LT,2014,97579.0,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,15000.0,11
Mazda,MX-5 Miata RF Grand Touring,2017,52000.0,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,20500.0,8
MINI,Hardtop Cooper S,2016,41680.0,Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,17495.0,9
Saab,9-3 SE,2002,77200.0,Gasoline,205.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Beige,None reported,Yes,7500.0,23
BMW,X5 xDrive40i,2019,50000.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Gold,None reported,Yes,43000.0,6
Audi,allroad 2.7T,2005,153000.0,Gasoline,250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,M/T,Blue,Blue,At least 1 accident or damage reported,Yes,6500.0,20
Mercury,Marauder Base,2004,56600.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Silver,Black,None reported,Yes,23000.0,21
Hyundai,Genesis 3.8,2015,116612.0,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,At least 1 accident or damage reported,Yes,12700.0,10
Audi,SQ5 3.0T Premium Plus,2018,72000.0,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,30000.0,7
Audi,A8 L 55,2019,39000.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,None reported,Yes,50000.0,6
Lincoln,Navigator Base,2008,149000.0,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,10099.0,17
BMW,M4 Base,2018,19300.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Silver,None reported,Yes,64000.0,7
Mazda,CX-9 Carbon Edition,2021,27836.0,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Polymetal Gray Metallic,Red,None reported,Yes,36969.0,4
Chevrolet,Corvette Stingray w/1LT,2023,3273.0,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,78999.0,2
Ford,F-150 Lariat,2017,74349.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,–,None reported,Yes,36000.0,8
Ford,F-250 Lariat,2019,85000.0,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,55000.0,6
Ferrari,Roma Base,2022,2250.0,Gasoline,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Blue,None reported,Yes,259500.0,3
Mercedes-Benz,GLS 450 Base 4MATIC,2017,46100.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,33000.0,8
Hyundai,Santa Fe SEL Plus 2.4,2019,49500.0,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,None reported,Yes,28000.0,6
Mercedes-Benz,E-Class E 350,2012,31130.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,23500.0,13
Ford,F-250 XLT SuperCab Super Duty,2008,149460.0,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,12240.0,17
Mercury,Marauder Base,2003,90000.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,15500.0,22
Ford,Transit-350 XLT,2021,48000.0,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,57000.0,4
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000.0,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,15500.0,12
Chevrolet,Suburban 2500 LS,2006,60000.0,Gasoline,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,At least 1 accident or damage reported,Yes,24950.0,19
Chevrolet,Suburban 1500 LT,2014,169500.0,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Purple,Brown,None reported,Yes,15000.0,11
Mitsubishi,Eclipse GS,2008,189500.0,Gasoline,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,6000.0,17
Toyota,Land Cruiser Base,2016,91000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,Yes,68500.0,9
Toyota,Tundra SR5 Access Cab,2004,229450.0,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,8250.0,21
Audi,RS 5 4.2,2014,49098.0,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,44900.0,11
Porsche,Panamera 4S,2010,62743.0,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,None reported,Yes,28600.0,15
BMW,M440 i xDrive,2021,24300.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Beige,None reported,Yes,49999.0,4
Cadillac,Escalade Premium,2010,104000.0,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,–,None reported,Yes,19500.0,15
Volvo,S60 T6 Momentum,2020,46250.0,Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,White,Charcoal,At least 1 accident or damage reported,Yes,27800.0,5
Mazda,CX-9 Touring Plus,2023,1930.0,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Jet Black Mica,Black,At least 1 accident or damage reported,Yes,40655.0,2
Jeep,Wrangler Unlimited Sport,2020,24040.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Clearcoat,Black,None reported,Yes,35273.0,5
Toyota,Highlander Base,2001,231581.0,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,Yes,4300.0,24
Ford,F-150 Lariat,2019,81000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,38500.0,6
Ford,Bronco,1974,6217.0,–,–,–,Dark Gray Metallic,–,None reported,Yes,115000.0,51
Mazda,Mazda6 Touring,2020,78700.0,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,18000.0,5
Kia,Optima EX,2015,109580.0,Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,11900.0,10
Lexus,RX 350 Base,2009,178000.0,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,4500.0,16
Mitsubishi,Outlander Sport 2.4 SE,2016,131193.0,Gasoline,2.4L I4 16V MPFI DOHC,Automatic CVT,Black,Black,None reported,Yes,11970.0,9
Mercedes-Benz,GLS 450 Base 4MATIC,2017,106000.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,25900.0,8
Audi,A3 2.0T Premium,2019,28211.0,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,27500.0,6
Mercedes-Benz,CLA-Class CLA 250,2016,88600.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,16800.0,9
BMW,X5 eDrive xDrive40e,2018,45090.0,Plug-In Hybrid,313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,30750.0,7
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272.0,Gasoline,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,11900.0,22
Jeep,Wrangler SE,2003,71000.0,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,None reported,Yes,12499.0,22
Land,Rover LR4 Lux,2012,141525.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,14490.0,13
Jaguar,XKR Base,2007,50000.0,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,At least 1 accident or damage reported,Yes,21900.0,18
BMW,M4 Base,2020,29140.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Orange,Orange,None reported,Yes,71995.0,5
BMW,M340 i xDrive,2022,9000.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Red,None reported,Yes,56900.0,3
BMW,ALPINA B7 Base,2013,36750.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,35999.0,12
Mercedes-Benz,C-Class C280 4MATIC,2007,49626.0,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,Yes,12000.0,18
Jeep,Compass High Altitude,2017,45000.0,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,16500.0,8
Toyota,Highlander Hybrid XLE,2019,69350.0,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Gray,None reported,Yes,36000.0,6
BMW,M3 Base,2023,4106.0,Gasoline,3.0L I6 24V GDI DOHC Twin Turbo,6-Speed Manual,Isle of Man Green Metallic,Kyalami Orange,None reported,Yes,84645.0,2
BMW,M3 Base,1999,184700.0,Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Gray,None reported,Yes,36950.0,26
Maserati,Quattroporte S Q4 GranLusso,2018,57500.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,41900.0,7
Acura,RDX Advance Package,2021,29000.0,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,39650.0,4
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,61675.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,19000.0,10
Mercedes-Benz,Sprinter 3500XD High Roof,2021,33300.0,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,White,Black,None reported,Yes,45000.0,4
Cadillac,XTS Luxury,2014,62950.0,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,17498.0,11
Chevrolet,Camaro 2LT,2015,56675.0,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,19750.0,10
Porsche,Cayenne S,2013,92000.0,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,Yes,23000.0,12
Dodge,Magnum R/T,2005,96000.0,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Gold,At least 1 accident or damage reported,Yes,12000.0,20
INFINITI,Q70 3.7X,2014,33500.0,Gasoline,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,23000.0,11
Land,Rover Range Rover SV Autobiography Dynamic SWB,2020,16754.0,Gasoline,557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,112000.0,5
Toyota,Camry Hybrid Base,2007,53249.0,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,9250.0,18
GMC,Acadia SLT-1,2016,119000.0,Gasoline,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Brown,None reported,Yes,12500.0,9
RAM,2500 SLT,2017,86000.0,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,41000.0,8
RAM,3500 Laramie,2014,177000.0,Diesel,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,–,At least 1 accident or damage reported,Yes,40500.0,11
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,93500.0,Gasoline,362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,15900.0,12
BMW,M5 Base,2018,47700.0,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,White,At least 1 accident or damage reported,Yes,54999.0,7
Buick,Rainier CXL,2005,147589.0,Gasoline,275.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,2800.0,20
Cadillac,Escalade Luxury,2013,95570.0,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0,12
Mercedes-Benz,S-Class S 560,2018,45791.0,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Gray,None reported,Yes,52000.0,7
INFINITI,QX80 Base,2016,60000.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Beige,At least 1 accident or damage reported,Yes,25950.0,9
Buick,Encore Preferred,2019,50000.0,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,18795.0,6
Jeep,Liberty Limited,2010,107000.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,Yes,5900.0,15
Mercedes-Benz,S-Class S 63 AMG,2011,60000.0,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,37000.0,14
Audi,A8 L 3.0T,2016,55000.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,28000.0,9
Mazda,CX-30 2.5 S Select Package,2022,4004.0,Gasoline,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,25500.0,3
Bentley,Continental GT V8,2022,10972.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,Red,Black,None reported,Yes,217950.0,3
Bentley,Flying Spur V8,2022,27858.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,–,–,None reported,Yes,197750.0,3
Volkswagen,Golf R 4-Door,2016,47144.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,29950.0,9
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,165454.0,Gasoline,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,4000.0,14
Ford,F-150 XLT,2018,98000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,–,At least 1 accident or damage reported,Yes,25500.0,7
Ford,Mustang V6,2013,147191.0,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,12990.0,12
BMW,435 i,2014,53600.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,25980.0,11
Dodge,Challenger R/T,2010,100100.0,–,–,Transmission w/Dual Shift Mode,Purple,Black,None reported,Yes,17000.0,15
Mercedes-Benz,AMG G 63 Base,2020,1750.0,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,Yes,199995.0,5
Dodge,Challenger SRT Hellcat,2020,2750.0,Gasoline,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Black,None reported,Yes,104500.0,5
Porsche,Boxster Base,2013,40800.0,Gasoline,265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,None reported,Yes,35500.0,12
Porsche,Macan Base,2018,36798.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Volcano Grey Metallic,Black,At least 1 accident or damage reported,Yes,49500.0,7
Ford,Mustang GT,2010,87500.0,Gasoline,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,14900.0,15
Chevrolet,Suburban LT,2020,93000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,38500.0,5
Mercedes-Benz,C-Class C 300 4MATIC,2018,41515.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Black,Black,None reported,Yes,28251.0,7
Toyota,Sequoia SR5,2023,1539.0,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Green,Boulder,At least 1 accident or damage reported,Yes,76373.0,2
BMW,M5 Base,2018,31090.0,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,At least 1 accident or damage reported,Yes,68000.0,7
Audi,A7 3.0T Prestige,2015,73000.0,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,White,Gray,None reported,Yes,34000.0,10
Genesis,G80 3.8,2020,23600.0,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,31900.0,5
Rolls-Royce,Ghost Base,2016,8755.0,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,166900.0,9
BMW,M6 Gran Coupe Base,2019,20500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,67900.0,6
Ford,Mustang V6,2013,57912.0,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,18750.0,12
BMW,650 i,2009,35000.0,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,18500.0,16
Lincoln,Navigator Reserve,2022,13750.0,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Beige,None reported,Yes,79999.0,3
Mercedes-Benz,S-Class S 550 4MATIC,2015,13300.0,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,62500.0,10
Chevrolet,Suburban LT,2017,117000.0,Gasoline,6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,27000.0,8
Audi,A7 55 Premium,2020,27100.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Black,None reported,Yes,50000.0,5
Ford,Mustang EcoBoost Premium,2017,89352.0,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,20989.0,8
Chevrolet,Cruze LS,2018,100000.0,Gasoline,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,8500.0,7
Land,Rover Range Rover HSE SWB,2020,16000.0,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Black,None reported,Yes,75500.0,5
Land,Rover Defender S,2023,15200.0,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,62999.0,2
BMW,650 i,2012,39960.0,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Brown,None reported,Yes,38995.0,13
Ford,Mustang Base,2008,119000.0,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,13500.0,17
Mazda,Mazda3 i Touring,2014,118500.0,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,At least 1 accident or damage reported,Yes,11500.0,11
Kia,Stinger GT1,2021,8288.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,45899.0,4
Chevrolet,Camaro ZL1,2023,2950.0,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Gray,None reported,Yes,74500.0,2
Mercedes-Benz,AMG G 63 Base,2017,73000.0,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,78000.0,8
Ford,Thunderbird Premium,2005,82000.0,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gold,White,None reported,Yes,14900.0,20
